Barrio,Tipologia,Tipo de alquiler,Unidad,Valor bajo,Valor alto,Categoria de dato,Fuente,Fecha de actualizacion,Notas
Bella Vista,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bella Vista,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bella Vista,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bella Vista,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bella Vista,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bella Vista,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bella Vista,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bella Vista,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bella Vista,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bella Vista,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santo Domingo,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santo Domingo,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santo Domingo,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santo Domingo,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santo Domingo,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santo Domingo,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santo Domingo,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santo Domingo,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santo Domingo,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santo Domingo,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santo Domingo,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santo Domingo,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Las Lomas,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Las Lomas,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Las Lomas,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Las Lomas,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Las Lomas,1 dormitorio,Tradicional (sin muebles),USD/mes,800,800,C,InfoCasas,2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Las Lomas,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Las Lomas,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Las Lomas,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Las Lomas,2 dormitorios,Amoblado (largo plazo),USD/mes,1100,1200,C,InfoCasas,2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Las Lomas,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Las Lomas,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Las Lomas,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Jorge,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Jorge,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Jorge,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Jorge,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Jorge,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Jorge,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Jorge,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Jorge,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Jorge,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Jorge,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Jorge,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Jorge,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Dr. Francia,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Dr. Francia,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Dr. Francia,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Dr. Francia,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Dr. Francia,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Dr. Francia,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Dr. Francia,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Dr. Francia,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Dr. Francia,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Dr. Francia,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Dr. Francia,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Dr. Francia,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Encarnación,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Encarnación,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Encarnación,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Encarnación,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Encarnación,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Encarnación,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Encarnación,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Encarnación,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Encarnación,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Encarnación,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Encarnación,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Encarnación,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ricardo Brugada,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ricardo Brugada,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ricardo Brugada,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ricardo Brugada,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ricardo Brugada,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ricardo Brugada,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ricardo Brugada,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ricardo Brugada,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ricardo Brugada,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ricardo Brugada,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ricardo Brugada,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ricardo Brugada,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Las Mercedes,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Las Mercedes,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Las Mercedes,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Las Mercedes,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Las Mercedes,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Las Mercedes,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Las Mercedes,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Las Mercedes,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Las Mercedes,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Las Mercedes,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Las Mercedes,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Las Mercedes,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. López,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mcal. López,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. López,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. López,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mcal. López,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. López,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. López,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mcal. López,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. López,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. López,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mcal. López,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mcal. López,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Manorá,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Manorá,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Manorá,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Manorá,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Manorá,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Manorá,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Manorá,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Manorá,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Manorá,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Manorá,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Manorá,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Manorá,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Pyta Punta,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ita Pyta Punta,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Pyta Punta,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Pyta Punta,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ita Pyta Punta,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Pyta Punta,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Pyta Punta,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ita Pyta Punta,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Pyta Punta,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Pyta Punta,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ita Pyta Punta,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ita Pyta Punta,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Antonio,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Antonio,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Antonio,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Antonio,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Antonio,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Antonio,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Antonio,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Antonio,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Antonio,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Antonio,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Antonio,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Antonio,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Catedral,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Catedral,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Catedral,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Catedral,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Catedral,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Catedral,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Catedral,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Catedral,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Catedral,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Catedral,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Catedral,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Catedral,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Roque,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Roque,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Roque,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Roque,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Roque,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Roque,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Roque,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Roque,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Roque,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Roque,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Roque,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Roque,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Villa Morra,Monoambiente,Airbnb / temporal,USD/noche,31,54,C,Airbnb (listados directos),2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Villa Morra,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Villa Morra,Monoambiente,Amoblado (largo plazo),USD/mes,500,800,C,InfoCasas,2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Villa Morra,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Villa Morra,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Villa Morra,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Villa Morra,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Villa Morra,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Villa Morra,2 dormitorios,Amoblado (largo plazo),USD/mes,800,1800,C,InfoCasas,2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Villa Morra,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Villa Morra,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Villa Morra,3 dormitorios,Amoblado (largo plazo),USD/mes,2000,3300,C,InfoCasas,2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Ycua Satí,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ycua Satí,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ycua Satí,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ycua Satí,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ycua Satí,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ycua Satí,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ycua Satí,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ycua Satí,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ycua Satí,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ycua Satí,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ycua Satí,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ycua Satí,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Cristóbal,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Cristóbal,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Cristóbal,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Cristóbal,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Cristóbal,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Cristóbal,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Cristóbal,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Cristóbal,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Cristóbal,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Cristóbal,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Cristóbal,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Cristóbal,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ytay,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ytay,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ytay,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ytay,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ytay,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ytay,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ytay,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ytay,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ytay,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ytay,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ytay,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ytay,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Carlos Antonio López,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Carlos Antonio López,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Carlos Antonio López,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Carlos Antonio López,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Carlos Antonio López,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Carlos Antonio López,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Carlos Antonio López,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Carlos Antonio López,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Carlos Antonio López,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Carlos Antonio López,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Carlos Antonio López,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Carlos Antonio López,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Gral. Díaz,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Gral. Díaz,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Gral. Díaz,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Gral. Díaz,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Gral. Díaz,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Gral. Díaz,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Gral. Díaz,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Gral. Díaz,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Gral. Díaz,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Gral. Díaz,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Gral. Díaz,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Gral. Díaz,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ciudad Nueva,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ciudad Nueva,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ciudad Nueva,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ciudad Nueva,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ciudad Nueva,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ciudad Nueva,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ciudad Nueva,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ciudad Nueva,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
