Barrio,Tipologia,Tipo de alquiler,Unidad,Valor bajo,Valor alto,Categoria de dato,Fuente,Fecha de actualizacion,Notas,Capacidad (huespedes),Tarifa semanal (USD),Ocupacion estimada (%),Ingreso bruto mensual estimado (USD),Costos operativos estimados (USD/mes),Ingreso neto estimado (USD/mes),Confianza,Vigencia
Nazareth,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Nazareth,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Nazareth,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Nazareth,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Los Laureles,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Los Laureles,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Los Laureles,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Los Laureles,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Villa Aurelia,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Villa Aurelia,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Villa Aurelia,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Villa Aurelia,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Roberto L. Petit,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Roberto L. Petit,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Roberto L. Petit,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Roberto L. Petit,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Vicente,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Vicente,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Vicente,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Vicente,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Hipódromo,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Hipódromo,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Hipódromo,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Hipódromo,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Republicano,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Republicano,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Republicano,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Republicano,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Terminal,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Terminal,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Terminal,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Terminal,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Pablo,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Pablo,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Pablo,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Pablo,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bañado,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bañado,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bañado,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bañado,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santa Ana,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santa Ana,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santa Ana,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santa Ana,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ita Enramada,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ita Enramada,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ita Enramada,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ita Enramada,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Jukyty,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Jukyty,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Jukyty,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Jukyty,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Cayetano,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Cayetano,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Cayetano,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Cayetano,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Luis A. de Herrera,Monoambiente/1 dormitorio (sin especificar),Airbnb / temporal,USD/noche,19,32,A,Busqueda web directa (listados Airbnb reales),2026-08-17,"Promovido desde contracts/cases/HERRERA-001/32-airbnb-real-de-barrio-herrera.md - 2 listados con precio confirmado (Apartment in Asuncion Barrio Herrera USD32/noche; Lovely flat in Barrio Herrera USD19/noche); un tercer listado premium Penthouse sin precio confirmado, no incluido",,,60 (supuesto generico D-046 - no es dato de zona),,,MEDIUM,CURRENT
